事業所番号,サービスコード,BS,CF,uneiページURL
3110112053,160,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_003_unei=true&JigyosyoCd=3110112053-00&ServiceCd=160
3110112921,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3110112921-00&ServiceCd=140
3110113945,160,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_003_unei=true&JigyosyoCd=3110113945-00&ServiceCd=160
3110112129,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3110112129-00&ServiceCd=130
3110212606,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3110212606-00&ServiceCd=780
3110212184,160,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_003_unei=true&JigyosyoCd=3110212184-00&ServiceCd=160
3110213521,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3110213521-00&ServiceCd=140
3110311473,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3110311473-00&ServiceCd=130
3111510016,230,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_009_unei=true&JigyosyoCd=3111510016-00&ServiceCd=230
3111510511,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3111510511-00&ServiceCd=140
3111510743,160,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_003_unei=true&JigyosyoCd=3111510743-00&ServiceCd=160
3111510743,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3111510743-00&ServiceCd=430
3111510511,160,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_003_unei=true&JigyosyoCd=3111510511-00&ServiceCd=160
3111610162,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3111610162-00&ServiceCd=140
3111610162,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3111610162-00&ServiceCd=130
3111610162,160,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_003_unei=true&JigyosyoCd=3111610162-00&ServiceCd=160
3111610352,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3111610352-00&ServiceCd=130
3150180234,220,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_008_unei=true&JigyosyoCd=3150180234-00&ServiceCd=220
3150180309,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3150180309-00&ServiceCd=140
3150280059,220,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_008_unei=true&JigyosyoCd=3150280059-00&ServiceCd=220
3150280117,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3150280117-00&ServiceCd=140
3150280174,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3150280174-00&ServiceCd=150
3150280265,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3150280265-00&ServiceCd=140
3150280281,160,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_003_unei=true&JigyosyoCd=3150280281-00&ServiceCd=160
3150280281,220,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_008_unei=true&JigyosyoCd=3150280281-00&ServiceCd=220
3150280281,520,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_012_unei=true&JigyosyoCd=3150280281-00&ServiceCd=520
3150280315,220,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_008_unei=true&JigyosyoCd=3150280315-00&ServiceCd=220
3150280323,220,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_008_unei=true&JigyosyoCd=3150280323-00&ServiceCd=220
3150280315,520,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_012_unei=true&JigyosyoCd=3150280315-00&ServiceCd=520
3150280331,160,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_003_unei=true&JigyosyoCd=3150280331-00&ServiceCd=160
3150280356,220,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_008_unei=true&JigyosyoCd=3150280356-00&ServiceCd=220
3150380024,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3150380024-00&ServiceCd=140
3150380107,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3150380107-00&ServiceCd=140
3150480246,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3150480246-00&ServiceCd=140
