jigyosho_number,facility_name,corp_name,corp_number,corp_type,prefecture,service_name,accounting_type,doc_type,url,status,file
0177300050,芦別慈恵園訪問介護サービス,社会福祉法人芦別慈恵園,3430005007432,社会福祉法人,北海道,訪問介護,社会福祉法人会計基準,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/01/0177300050_00_110/IncomeStatementFile/kouhyou/1.pdf?1737951250,ok(83KB),社会福祉法人\0177300050_PL.pdf
0177300050,芦別慈恵園訪問介護サービス,社会福祉法人芦別慈恵園,3430005007432,社会福祉法人,北海道,訪問介護,社会福祉法人会計基準,CF,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/01/0177300050_00_110/CashFlowFile/kouhyou/1.pdf?1737951250,ok(84KB),社会福祉法人\0177300050_CF.pdf
0177300050,芦別慈恵園訪問介護サービス,社会福祉法人芦別慈恵園,3430005007432,社会福祉法人,北海道,訪問介護,社会福祉法人会計基準,BS,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/01/0177300050_00_110/BalanceSheetsFile/kouhyou/1.pdf?1737951250,ok(182KB),社会福祉法人\0177300050_BS.pdf
0174200170,社会福祉法人別海町社会福祉協議会　介護サポートセンターほほえみ,社会福祉法人　別海町社会福祉協議会,9462505000024,社会福祉法人,北海道,訪問介護,社会福祉法人会計基準,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/01/0174200170_00_110/CashFlowFile/kouhyou/1.pdf?1737947185,ok(125KB),社会福祉法人\0174200170_PL.pdf
0174200170,社会福祉法人別海町社会福祉協議会　介護サポートセンターほほえみ,社会福祉法人　別海町社会福祉協議会,9462505000024,社会福祉法人,北海道,訪問介護,社会福祉法人会計基準,CF,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/01/0174200170_00_110/IncomeStatementFile/kouhyou/1.pdf?1737947184,ok(117KB),社会福祉法人\0174200170_CF.pdf
0174200170,社会福祉法人別海町社会福祉協議会　介護サポートセンターほほえみ,社会福祉法人　別海町社会福祉協議会,9462505000024,社会福祉法人,北海道,訪問介護,社会福祉法人会計基準,BS,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/01/0174200170_00_110/BalanceSheetsFile/kouhyou/1.pdf?1737947185,ok(65KB),社会福祉法人\0174200170_BS.pdf
0270200355,城東ホームヘルプセンター,社会福祉法人桃仁会,3420005004397,社会福祉法人,青森県,訪問介護,,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/02/0270200355_00_110/IncomeStatementFile/kouhyou/1.pdf?1734409778,ok(1029KB),社会福祉法人\0270200355_PL.pdf
0270200355,城東ホームヘルプセンター,社会福祉法人桃仁会,3420005004397,社会福祉法人,青森県,訪問介護,,CF,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/02/0270200355_00_110/CashFlowFile/kouhyou/1.pdf?1734409778,ok(1055KB),社会福祉法人\0270200355_CF.pdf
0270200355,城東ホームヘルプセンター,社会福祉法人桃仁会,3420005004397,社会福祉法人,青森県,訪問介護,,BS,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/02/0270200355_00_110/BalanceSheetsFile/kouhyou/1.pdf?1734409778,ok(230KB),社会福祉法人\0270200355_BS.pdf
0372100685,松実会指定訪問介護事業所,社会福祉法人松実会,9400005000038,社会福祉法人,岩手県,訪問介護,社会福祉法人会計,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/03/0372100685_00_110/IncomeStatementFile/kouhyou/1.pdf?1743378722,ok(535KB),社会福祉法人\0372100685_PL.pdf
